County Name,County Name [Public School] 2015-16,County Number [Public School] 2015-16,Total Number of Public Schools [Public School] 2015-16
Richland County SC  ,Richland County,45079,103
Richland County WI  ,Richland County,55103,10
Richland Parish LA  ,Richland Parish,22083,13
Richmond city VA  ,Richmond city,51760,60
Richmond County GA  ,Richmond County,13245,61
Richmond County NC  ,Richmond County,37153,16
Richmond County NY  ,Richmond County,36085,83
Richmond County VA  ,Richmond County,51159,7
Riley County KS  ,Riley County,20161,18
Ringgold County IA  ,Ringgold County,19159,4
Rio Arriba County NM  ,Rio Arriba County,35039,29
Rio Blanco County CO  ,Rio Blanco County,08103,5
Rio Grande County CO  ,Rio Grande County,08105,12
Ripley County IN  ,Ripley County,18137,13
Ripley County MO  ,Ripley County,29181,9
Ritchie County WV  ,Ritchie County,54085,6
Riverside County CA  ,Riverside County,06065,508
Roane County TN  ,Roane County,47145,17
Roane County WV  ,Roane County,54087,6
Roanoke city VA  ,Roanoke city,51770,29
Roanoke County VA  ,Roanoke County,51161,25
Roberts County SD  ,Roberts County,46109,13
Roberts County TX  ,Roberts County,48393,1
Robertson County KY  ,Robertson County,21201,1
Robertson County TN  ,Robertson County,47147,21
Robertson County TX  ,Robertson County,48395,12
Robeson County NC  ,Robeson County,37155,45
Rock County MN  ,Rock County,27133,7
Rock County NE  ,Rock County,31149,4
Rock County WI  ,Rock County,55105,67
Rock Island County IL  ,Rock Island County,17161,55
Rockbridge County VA  ,Rockbridge County,51163,4
Rockcastle County KY  ,Rockcastle County,21203,7
Rockdale County GA  ,Rockdale County,13247,19
Rockingham County NC  ,Rockingham County,37157,27
Rockingham County NH  ,Rockingham County,33015,94
Rockingham County VA  ,Rockingham County,51165,22
Rockland County NY  ,Rockland County,36087,68
Rockwall County TX  ,Rockwall County,48397,27
Roger Mills County OK  ,Roger Mills County,40129,6
Rogers County OK  ,Rogers County,40131,34
Rolette County ND  ,Rolette County,38079,13
Rooks County KS  ,Rooks County,20163,7
Roosevelt County MT  ,Roosevelt County,30085,22
Roosevelt County NM  ,Roosevelt County,35041,13
Roscommon County MI  ,Roscommon County,26143,10
Roseau County MN  ,Roseau County,27135,11
Rosebud County MT  ,Rosebud County,30087,15
Ross County OH  ,Ross County,39141,27
Routt County CO  ,Routt County,08107,14
Rowan County KY  ,Rowan County,21205,11
Rowan County NC  ,Rowan County,37159,37
Runnels County TX  ,Runnels County,48399,14
Rush County IN  ,Rush County,18139,8
Rush County KS  ,Rush County,20165,6
Rusk County TX  ,Rusk County,48401,28
Rusk County WI  ,Rusk County,55107,11
Russell County AL  ,Russell County,01113,19
Russell County KS  ,Russell County,20167,5
Russell County KY  ,Russell County,21207,6
Russell County VA  ,Russell County,51167,15
Rutherford County NC  ,Rutherford County,37161,20
Rutherford County TN  ,Rutherford County,47149,59
Rutland County VT  ,Rutland County,50021,32
Sabine County TX  ,Sabine County,48403,7
Sabine Parish LA  ,Sabine Parish,22085,11
Sac County IA  ,Sac County,19161,8
Sacramento County CA  ,Sacramento County,06067,383
Sagadahoc County ME  ,Sagadahoc County,23023,18
Saginaw County MI  ,Saginaw County,26145,77
Saguache County CO  ,Saguache County,08109,10
Salem city VA  ,Salem city,51775,8
Salem County NJ  ,Salem County,34033,33
Saline County AR  ,Saline County,05125,29
Saline County IL  ,Saline County,17165,15
Saline County KS  ,Saline County,20169,16
Saline County MO  ,Saline County,29195,18
Saline County NE  ,Saline County,31151,9
Salt Lake County UT  ,Salt Lake County,49035,311
Saluda County SC  ,Saluda County,45081,6
Sampson County NC  ,Sampson County,37163,23
San Augustine County TX  ,San Augustine County,48405,4
San Benito County CA  ,San Benito County,06069,25
San Bernardino County CA  ,San Bernardino County,06071,554
San Diego County CA  ,San Diego County,06073,767
San Francisco County CA  ,San Francisco County,06075,136
San Jacinto County TX  ,San Jacinto County,48407,8
San Joaquin County CA  ,San Joaquin County,06077,239
San Juan County CO  ,San Juan County,08111,3
San Juan County NM  ,San Juan County,35045,53
San Juan County UT  ,San Juan County,49037,12
San Juan County WA  ,San Juan County,53055,14
San Luis Obispo County CA  ,San Luis Obispo County,06079,84
San Mateo County CA  ,San Mateo County,06081,181
San Miguel County CO  ,San Miguel County,08113,4
San Miguel County NM  ,San Miguel County,35047,21
San Patricio County TX  ,San Patricio County,48409,34
San Saba County TX  ,San Saba County,48411,6
Sanborn County SD  ,Sanborn County,46111,6
Sanders County MT  ,Sanders County,30089,17
Sandoval County NM  ,Sandoval County,35043,41
Sandusky County OH  ,Sandusky County,39143,25
Sangamon County IL  ,Sangamon County,17167,74
Sanilac County MI  ,Sanilac County,26151,20
Sanpete County UT  ,Sanpete County,49039,16
Santa Barbara County CA  ,Santa Barbara County,06083,125
Santa Clara County CA  ,Santa Clara County,06085,425
Santa Cruz County AZ  ,Santa Cruz County,04023,30
Santa Cruz County CA  ,Santa Cruz County,06087,81
Santa Fe County NM  ,Santa Fe County,35049,48
Santa Rosa County FL  ,Santa Rosa County,12113,39
Sarasota County FL  ,Sarasota County,12115,59
Saratoga County NY  ,Saratoga County,36091,51
Sargent County ND  ,Sargent County,38081,6
Sarpy County NE  ,Sarpy County,31153,64
Sauk County WI  ,Sauk County,55111,33
Saunders County NE  ,Saunders County,31155,19
Sawyer County WI  ,Sawyer County,55113,12
Schenectady County NY  ,Schenectady County,36093,42
Schleicher County TX  ,Schleicher County,48413,3
Schley County GA  ,Schley County,13249,2
Schoharie County NY  ,Schoharie County,36095,11
Schoolcraft County MI  ,Schoolcraft County,26153,3
Schuyler County IL  ,Schuyler County,17169,4
Schuyler County MO  ,Schuyler County,29197,2
Schuyler County NY  ,Schuyler County,36097,6
Schuylkill County PA  ,Schuylkill County,42107,38
Scioto County OH  ,Scioto County,39145,33
Scotland County MO  ,Scotland County,29199,3
Scotland County NC  ,Scotland County,37165,14
Scott County AR  ,Scott County,05127,6
Scott County IA  ,Scott County,19163,56
Scott County IL  ,Scott County,17171,5
Scott County IN  ,Scott County,18143,9
Scott County KS  ,Scott County,20171,3
Scott County KY  ,Scott County,21209,15
Scott County MN  ,Scott County,27139,61
Scott County MO  ,Scott County,29201,23
Scott County MS  ,Scott County,28123,12
Scott County TN  ,Scott County,47151,10
Scott County VA  ,Scott County,51169,15
Scotts Bluff County NE  ,Scotts Bluff County,31157,27
Screven County GA  ,Screven County,13251,4
Scurry County TX  ,Scurry County,48415,9
Searcy County AR  ,Searcy County,05129,6
Sebastian County AR  ,Sebastian County,05131,40
Sedgwick County CO  ,Sedgwick County,08115,5
Sedgwick County KS  ,Sedgwick County,20173,158
Seminole County FL  ,Seminole County,12117,77
Seminole County GA  ,Seminole County,13253,2
Seminole County OK  ,Seminole County,40133,25
Seneca County NY  ,Seneca County,36099,11
Seneca County OH  ,Seneca County,39147,20
Sequatchie County TN  ,Sequatchie County,47153,3
Sequoyah County OK  ,Sequoyah County,40135,25
Sevier County AR  ,Sevier County,05133,8
Sevier County TN  ,Sevier County,47155,30
Sevier County UT  ,Sevier County,49041,15
Seward County KS  ,Seward County,20175,14
Seward County NE  ,Seward County,31159,7
Shackelford County TX  ,Shackelford County,48417,3
Shannon County MO  ,Shannon County,29203,8
Sharkey County MS  ,Sharkey County,28125,4
Sharp County AR  ,Sharp County,05135,6
Shasta County CA  ,Shasta County,06089,105
Shawano County WI  ,Shawano County,55115,18
Shawnee County KS  ,Shawnee County,20177,57
Sheboygan County WI  ,Sheboygan County,55117,50
Shelby County AL  ,Shelby County,01117,48
Shelby County IA  ,Shelby County,19165,7
Shelby County IL  ,Shelby County,17173,14
Shelby County IN  ,Shelby County,18145,16
Shelby County KY  ,Shelby County,21211,16
Shelby County MO  ,Shelby County,29205,7
Shelby County OH  ,Shelby County,39149,21
Shelby County TN  ,Shelby County,47157,295
Shelby County TX  ,Shelby County,48419,14
Shenandoah County VA  ,Shenandoah County,51171,11
Sherburne County MN  ,Sherburne County,27141,37
Sheridan County KS  ,Sheridan County,20179,3
Sheridan County MT  ,Sheridan County,30091,9
Sheridan County ND  ,Sheridan County,38083,4
Sheridan County NE  ,Sheridan County,31161,10
Sheridan County WY  ,Sheridan County,56033,24
Sherman County KS  ,Sherman County,20181,4
Sherman County NE  ,Sherman County,31163,4
Sherman County OR  ,Sherman County,41055,3
Sherman County TX  ,Sherman County,48421,4
Shiawassee County MI  ,Shiawassee County,26155,30
Shoshone County ID  ,Shoshone County,16079,9
Sibley County MN  ,Sibley County,27143,12
Sierra County CA  ,Sierra County,06091,8
Sierra County NM  ,Sierra County,35051,5
Silver Bow County MT  ,Silver Bow County,30093,12
Simpson County KY  ,Simpson County,21213,6
Simpson County MS  ,Simpson County,28127,9
Sioux County IA  ,Sioux County,19167,15
Sioux County ND  ,Sioux County,38085,6
Sioux County NE  ,Sioux County,31165,4
Siskiyou County CA  ,Siskiyou County,06093,59
Sitka City and Borough AK  ,Sitka City and Borough,02220,7
Skagit County WA  ,Skagit County,53057,48
Skagway Municipality AK  ,Skagway Municipality,02230,1
Skamania County WA  ,Skamania County,53059,11
Slope County ND  ,Slope County,38087,2
Smith County KS  ,Smith County,20183,4
Smith County MS  ,Smith County,28129,6
Smith County TN  ,Smith County,47159,9
Smith County TX  ,Smith County,48423,68
Smyth County VA  ,Smyth County,51173,15
Snohomish County WA  ,Snohomish County,53061,223
Snyder County PA  ,Snyder County,42109,8
Socorro County NM  ,Socorro County,35053,10
Solano County CA  ,Solano County,06095,107
Somerset County MD  ,Somerset County,24039,9
Somerset County ME  ,Somerset County,23025,33
Somerset County NJ  ,Somerset County,34035,85
Somerset County PA  ,Somerset County,42111,29
Somervell County TX  ,Somervell County,48425,5
Sonoma County CA  ,Sonoma County,06097,188
Southampton County VA  ,Southampton County,51175,7
Southeast Fairbanks Census Area AK  ,Southeast Fairbanks Census Area,02240,13
Spalding County GA  ,Spalding County,13255,18
Spartanburg County SC  ,Spartanburg County,45083,84
Spencer County IN  ,Spencer County,18147,10
Spencer County KY  ,Spencer County,21215,7
Spink County SD  ,Spink County,46115,19
Spokane County WA  ,Spokane County,53063,175
Spotsylvania County VA  ,Spotsylvania County,51177,35
St. Bernard Parish LA  ,St. Bernard Parish,22087,11
St. Charles County MO  ,St. Charles County,29183,84
St. Charles Parish LA  ,St. Charles Parish,22089,15
St. Clair County AL  ,St. Clair County,01115,28
St. Clair County IL  ,St. Clair County,17163,98
St. Clair County MI  ,St. Clair County,26147,62
St. Clair County MO  ,St. Clair County,29185,7
St. Croix County WI  ,St. Croix County,55109,29
St. Francis County AR  ,St. Francis County,05123,13
St. Francois County MO  ,St. Francois County,29187,30
St. Helena Parish LA  ,St. Helena Parish,22091,2
St. James Parish LA  ,St. James Parish,22093,8
St. John the Baptist Parish LA  ,St. John the Baptist Parish,22095,11
St. Johns County FL  ,St. Johns County,12109,58
St. Joseph County IN  ,St. Joseph County,18141,74
St. Joseph County MI  ,St. Joseph County,26149,34
St. Landry Parish LA  ,St. Landry Parish,22097,36
St. Lawrence County NY  ,St. Lawrence County,36089,40
St. Louis city MO  ,St. Louis city,29510,121
St. Louis County MN  ,St. Louis County,27137,90
St. Louis County MO  ,St. Louis County,29189,271
St. Lucie County FL  ,St. Lucie County,12111,51
St. Martin Parish LA  ,St. Martin Parish,22099,16
St. Mary Parish LA  ,St. Mary Parish,22101,24
St. Mary's County MD  ,St. Mary's County,24037,28
St. Tammany Parish LA  ,St. Tammany Parish,22103,57
Stafford County KS  ,Stafford County,20185,6
Stafford County VA  ,Stafford County,51179,33
Stanislaus County CA  ,Stanislaus County,06099,192
Stanley County SD  ,Stanley County,46117,4
Stanly County NC  ,Stanly County,37167,22
Stanton County KS  ,Stanton County,20187,2
Stanton County NE  ,Stanton County,31167,3
Stark County IL  ,Stark County,17175,5
Stark County ND  ,Stark County,38089,18
Stark County OH  ,Stark County,39151,109
Starke County IN  ,Starke County,18149,8
Starr County TX  ,Starr County,48427,28
Staunton city VA  ,Staunton city,51790,12
Ste. Genevieve County MO  ,Ste. Genevieve County,29186,4
Stearns County MN  ,Stearns County,27145,63
Steele County MN  ,Steele County,27147,21
Steele County ND  ,Steele County,38091,3
Stephens County GA  ,Stephens County,13257,7
Stephens County OK  ,Stephens County,40137,26
Stephens County TX  ,Stephens County,48429,5
Stephenson County IL  ,Stephenson County,17177,23
Sterling County TX  ,Sterling County,48431,3
Steuben County IN  ,Steuben County,18151,9
Steuben County NY  ,Steuben County,36101,36
Stevens County KS  ,Stevens County,20189,6
Stevens County MN  ,Stevens County,27149,7
Stevens County WA  ,Stevens County,53065,42
Stewart County GA  ,Stewart County,13259,3
Stewart County TN  ,Stewart County,47161,6
Stillwater County MT  ,Stillwater County,30095,18
Stoddard County MO  ,Stoddard County,29207,21
Stokes County NC  ,Stokes County,37169,20
Stone County AR  ,Stone County,05137,7
Stone County MO  ,Stone County,29209,17
Stone County MS  ,Stone County,28131,4
Stonewall County TX  ,Stonewall County,48433,2
Storey County NV  ,Storey County,32029,4
Story County IA  ,Story County,19169,28
Strafford County NH  ,Strafford County,33017,38
Stutsman County ND  ,Stutsman County,38093,18
Sublette County WY  ,Sublette County,56035,8
Suffolk city VA  ,Suffolk city,51800,23
Suffolk County MA  ,Suffolk County,25025,170
Suffolk County NY  ,Suffolk County,36103,349
Sullivan County IN  ,Sullivan County,18153,11
Sullivan County MO  ,Sullivan County,29211,8
Sullivan County NH  ,Sullivan County,33019,27
Sullivan County NY  ,Sullivan County,36105,19
Sullivan County PA  ,Sullivan County,42113,2
Sullivan County TN  ,Sullivan County,47163,42
Sully County SD  ,Sully County,46119,3
Summers County WV  ,Summers County,54089,5
Summit County CO  ,Summit County,08117,9
Summit County OH  ,Summit County,39153,152
Summit County UT  ,Summit County,49043,22
Sumner County KS  ,Sumner County,20191,20
Sumner County TN  ,Sumner County,47165,49
Sumter County AL  ,Sumter County,01119,6
Sumter County FL  ,Sumter County,12119,14
Sumter County GA  ,Sumter County,13261,9
Sumter County SC  ,Sumter County,45085,28
Sunflower County MS  ,Sunflower County,28133,15
Surry County NC  ,Surry County,37171,27
Surry County VA  ,Surry County,51181,3
Susquehanna County PA  ,Susquehanna County,42115,15
Sussex County DE  ,Sussex County,10005,47
Sussex County NJ  ,Sussex County,34037,47
Sussex County VA  ,Sussex County,51183,3
Sutter County CA  ,Sutter County,06101,45
Sutton County TX  ,Sutton County,48435,4
Suwannee County FL  ,Suwannee County,12121,13
Swain County NC  ,Swain County,37173,6
Sweet Grass County MT  ,Sweet Grass County,30097,6
Sweetwater County WY  ,Sweetwater County,56037,28
Swift County MN  ,Swift County,27151,9
Swisher County TX  ,Swisher County,48437,8
Switzerland County IN  ,Switzerland County,18155,4
Talbot County GA  ,Talbot County,13263,1
Talbot County MD  ,Talbot County,24041,8
Taliaferro County GA  ,Taliaferro County,13265,1
Talladega County AL  ,Talladega County,01121,34
Tallahatchie County MS  ,Tallahatchie County,28135,7
Tallapoosa County AL  ,Tallapoosa County,01123,11
Tama County IA  ,Tama County,19171,10
Taney County MO  ,Taney County,29213,21
Tangipahoa Parish LA  ,Tangipahoa Parish,22105,35
Taos County NM  ,Taos County,35055,24
Tarrant County TX  ,Tarrant County,48439,572
Tate County MS  ,Tate County,28137,10
Tattnall County GA  ,Tattnall County,13267,7
Taylor County FL  ,Taylor County,12123,10
Taylor County GA  ,Taylor County,13269,5
Taylor County IA  ,Taylor County,19173,4
Taylor County KY  ,Taylor County,21217,8
Taylor County TX  ,Taylor County,48441,59
Taylor County WI  ,Taylor County,55119,10
Taylor County WV  ,Taylor County,54091,6
Tazewell County IL  ,Tazewell County,17179,56
Tazewell County VA  ,Tazewell County,51185,16
Tehama County CA  ,Tehama County,06103,50
Telfair County GA  ,Telfair County,13271,4
Teller County CO  ,Teller County,08119,7
Tensas Parish LA  ,Tensas Parish,22107,3
Terrebonne Parish LA  ,Terrebonne Parish,22109,34
Terrell County GA  ,Terrell County,13273,4
Terrell County TX  ,Terrell County,48443,1
Terry County TX  ,Terry County,48445,8
Teton County ID  ,Teton County,16081,7
Teton County MT  ,Teton County,30099,17
Teton County WY  ,Teton County,56039,11
Texas County MO  ,Texas County,29215,16
Texas County OK  ,Texas County,40139,23
Thayer County NE  ,Thayer County,31169,9
Thomas County GA  ,Thomas County,13275,13
Thomas County KS  ,Thomas County,20193,7
Thomas County NE  ,Thomas County,31171,4
Throckmorton County TX  ,Throckmorton County,48447,2
Thurston County NE  ,Thurston County,31173,10
Thurston County WA  ,Thurston County,53067,79
Tift County GA  ,Tift County,13277,11
Tillamook County OR  ,Tillamook County,41057,12
Tillman County OK  ,Tillman County,40141,11
Tioga County NY  ,Tioga County,36107,20
Tioga County PA  ,Tioga County,42117,14
Tippah County MS  ,Tippah County,28139,10
Tippecanoe County IN  ,Tippecanoe County,18157,38
Tipton County IN  ,Tipton County,18159,5
Tipton County TN  ,Tipton County,47167,14
Tishomingo County MS  ,Tishomingo County,28141,8
Titus County TX  ,Titus County,48449,14
Todd County KY  ,Todd County,21219,5
Todd County MN  ,Todd County,27153,11
Todd County SD  ,Todd County,46121,9
Tolland County CT  ,Tolland County,09013,55
Tom Green County TX  ,Tom Green County,48451,84
Tompkins County NY  ,Tompkins County,36109,33
Tooele County UT  ,Tooele County,49045,31
Toole County MT  ,Toole County,30101,10
Toombs County GA  ,Toombs County,13279,10
Torrance County NM  ,Torrance County,35057,13
Towner County ND  ,Towner County,38095,2
Towns County GA  ,Towns County,13281,3
Traill County ND  ,Traill County,38097,11
Transylvania County NC  ,Transylvania County,37175,10
Traverse County MN  ,Traverse County,27155,4
Travis County TX  ,Travis County,48453,291
Treasure County MT  ,Treasure County,30103,3
Trego County KS  ,Trego County,20195,2
Trempealeau County WI  ,Trempealeau County,55121,21
Treutlen County GA  ,Treutlen County,13283,2
Trigg County KY  ,Trigg County,21221,5
Trimble County KY  ,Trimble County,21223,4
Trinity County CA  ,Trinity County,06105,25
Trinity County TX  ,Trinity County,48455,9
Tripp County SD  ,Tripp County,46123,6
Troup County GA  ,Troup County,13285,19
Trousdale County TN  ,Trousdale County,47169,3
Trumbull County OH  ,Trumbull County,39155,71
Tucker County WV  ,Tucker County,54093,4
Tulare County CA  ,Tulare County,06107,194
Tulsa County OK  ,Tulsa County,40143,179
Tunica County MS  ,Tunica County,28143,7
Tuolumne County CA  ,Tuolumne County,06109,32
Turner County GA  ,Turner County,13287,4
Turner County SD  ,Turner County,46125,15
Tuscaloosa County AL  ,Tuscaloosa County,01125,60
Tuscarawas County OH  ,Tuscarawas County,39157,43
Tuscola County MI  ,Tuscola County,26157,27
Twiggs County GA  ,Twiggs County,13289,4
Twin Falls County ID  ,Twin Falls County,16083,34
Tyler County TX  ,Tyler County,48457,14
Tyler County WV  ,Tyler County,54095,4
Tyrrell County NC  ,Tyrrell County,37177,3
Uinta County WY  ,Uinta County,56041,14
Uintah County UT  ,Uintah County,49047,16
Ulster County NY  ,Ulster County,36111,46
Umatilla County OR  ,Umatilla County,41059,40
Unicoi County TN  ,Unicoi County,47171,8
Union County AR  ,Union County,05139,19
Union County FL  ,Union County,12125,8
Union County GA  ,Union County,13291,5
Union County IA  ,Union County,19175,6
Union County IL  ,Union County,17181,16
Union County IN  ,Union County,18161,4
Union County KY  ,Union County,21225,7
Union County MS  ,Union County,28145,9
Union County NC  ,Union County,37179,53
Union County NJ  ,Union County,34039,175
Union County NM  ,Union County,35059,7
Union County OH  ,Union County,39159,17
Union County OR  ,Union County,41061,14
Union County PA  ,Union County,42119,10
Union County SC  ,Union County,45087,9
Union County SD  ,Union County,46127,13
Union County TN  ,Union County,47173,10
Union Parish LA  ,Union Parish,22111,6
Upshur County TX  ,Upshur County,48459,27
Upshur County WV  ,Upshur County,54097,10
Upson County GA  ,Upson County,13293,4
Upton County TX  ,Upton County,48461,5
Utah County UT  ,Utah County,49049,182
Uvalde County TX  ,Uvalde County,48463,13
Val Verde County TX  ,Val Verde County,48465,18
Valdez-Cordova Census Area AK  ,Valdez-Cordova Census Area,02261,17
Valencia County NM  ,Valencia County,35061,29
Valley County ID  ,Valley County,16085,8
Valley County MT  ,Valley County,30105,17
Valley County NE  ,Valley County,31175,5
Van Buren County AR  ,Van Buren County,05141,8
Van Buren County IA  ,Van Buren County,19177,4
Van Buren County MI  ,Van Buren County,26159,47
Van Buren County TN  ,Van Buren County,47175,2
Van Wert County OH  ,Van Wert County,39161,13
Van Zandt County TX  ,Van Zandt County,48467,31
Vance County NC  ,Vance County,37181,19
Vanderburgh County IN  ,Vanderburgh County,18163,39
Venango County PA  ,Venango County,42121,18
Ventura County CA  ,Ventura County,06111,240
Vermilion County IL  ,Vermilion County,17183,44
Vermilion Parish LA  ,Vermilion Parish,22113,22
Vermillion County IN  ,Vermillion County,18165,7
Vernon County MO  ,Vernon County,29217,14
Vernon County WI  ,Vernon County,55123,22
Vernon Parish LA  ,Vernon Parish,22115,18
Victoria County TX  ,Victoria County,48469,35
Vigo County IN  ,Vigo County,18167,29
Vilas County WI  ,Vilas County,55125,13
Vinton County OH  ,Vinton County,39163,5
Virginia Beach city VA  ,Virginia Beach city,51810,91
Volusia County FL  ,Volusia County,12127,93
Wabash County IL  ,Wabash County,17185,5
Wabash County IN  ,Wabash County,18169,14
Wabasha County MN  ,Wabasha County,27157,12
Wabaunsee County KS  ,Wabaunsee County,20197,8
Wadena County MN  ,Wadena County,27159,10
Wagoner County OK  ,Wagoner County,40145,21
Wahkiakum County WA  ,Wahkiakum County,53069,2
Wake County NC  ,Wake County,37183,202
Wakulla County FL  ,Wakulla County,12129,15
Waldo County ME  ,Waldo County,23027,26
Walker County AL  ,Walker County,01127,24
Walker County GA  ,Walker County,13295,18
Walker County TX  ,Walker County,48471,18
Walla Walla County WA  ,Walla Walla County,53071,30
Wallace County KS  ,Wallace County,20199,4
Waller County TX  ,Waller County,48473,16
Wallowa County OR  ,Wallowa County,41063,7
Walsh County ND  ,Walsh County,38099,13
Walthall County MS  ,Walthall County,28147,6
Walton County FL  ,Walton County,12131,22
Walton County GA  ,Walton County,13297,19
Walworth County SD  ,Walworth County,46129,7
Walworth County WI  ,Walworth County,55127,43
Wapello County IA  ,Wapello County,19179,14
Ward County ND  ,Ward County,38101,37
Ward County TX  ,Ward County,48475,7
Ware County GA  ,Ware County,13299,10
Warren County GA  ,Warren County,13301,3
Warren County IA  ,Warren County,19181,19
Warren County IL  ,Warren County,17187,11
Warren County IN  ,Warren County,18171,4
Warren County KY  ,Warren County,21227,44
Warren County MO  ,Warren County,29219,10
Warren County MS  ,Warren County,28149,17
Warren County NC  ,Warren County,37185,9
Warren County NJ  ,Warren County,34041,47
Warren County NY  ,Warren County,36113,20
Warren County OH  ,Warren County,39165,46
Warren County PA  ,Warren County,42123,11
Warren County TN  ,Warren County,47177,11
Warren County VA  ,Warren County,51187,8
Warrick County IN  ,Warrick County,18173,17
Wasatch County UT  ,Wasatch County,49051,9
Wasco County OR  ,Wasco County,41065,11
Waseca County MN  ,Waseca County,27161,11
Washakie County WY  ,Washakie County,56043,7
Washburn County WI  ,Washburn County,55129,18
Washington County AL  ,Washington County,01129,8
Washington County AR  ,Washington County,05143,65
Washington County CO  ,Washington County,08121,11
Washington County FL  ,Washington County,12133,10
Washington County GA  ,Washington County,13303,5
Washington County IA  ,Washington County,19183,14
Washington County ID  ,Washington County,16087,9
Washington County IL  ,Washington County,17189,9
Washington County IN  ,Washington County,18175,8
Washington County KS  ,Washington County,20201,8
Washington County KY  ,Washington County,21229,5
Washington County MD  ,Washington County,24043,46
Washington County ME  ,Washington County,23029,36
Washington County MN  ,Washington County,27163,92
Washington County MO  ,Washington County,29221,13
Washington County MS  ,Washington County,28151,25
Washington County NC  ,Washington County,37187,5
Washington County NE  ,Washington County,31177,11
Washington County NY  ,Washington County,36115,25
Washington County OH  ,Washington County,39167,23
Washington County OK  ,Washington County,40147,21
Washington County OR  ,Washington County,41067,129
Washington County PA  ,Washington County,42125,56
Washington County RI  ,Washington County,44009,40
Washington County TN  ,Washington County,47179,29
Washington County TX  ,Washington County,48477,9
Washington County UT  ,Washington County,49053,55
Washington County VA  ,Washington County,51191,18
Washington County VT  ,Washington County,50023,27
Washington County WI  ,Washington County,55131,38
Washington Parish LA  ,Washington Parish,22117,16
Washita County OK  ,Washita County,40149,9
